Order_ID,Date,Product,Category,Quantity,Unit_Price,Total_Sales,Region,Customer_Type
1000,2024-01-01,Shoes,Clothing,5.0,,40000.0,North,New
1001,2024-01-02,Microwave Oven,,1.0,2000.0,2000.0,East,New
1002,2024-01-03,Microwave Oven,,1.0,,15000.0,West,Returning
1003,2024-01-04,Mobile Phone,Electronics,,700.0,,West,Returning
1004,2024-01-05,,,5.0,2000.0,10000.0,North,New
1005,2024-01-06,Mixer Grinder,,,7500.0,7500.0,South,
1006,2024-01-07,Headphones,Electronics,4.0,8000.0,32000.0,,New
1007,2024-01-08,Headphones,Electronics,5.0,,17500.0,,New
1008,2024-01-09,Shoes,Clothing,1.0,,2000.0,North,New
1009,2024-01-10,,Clothing,3.0,15000.0,45000.0,,New
1010,2024-01-11,,,,1200.0,,North,Returning
1011,2024-01-12,Headphones,Electronics,1.0,2500.0,2500.0,South,Returning
1012,2024-01-13,Coffee Maker,Home Appliance,,700.0,3500.0,,New
1013,,Mixer Grinder,Home Appliance,3.0,4200.0,12600.0,,
1014,2024-01-15,Coffee Maker,Home Appliance,2.0,4200.0,8400.0,South,
1015,,,Home Appliance,1.0,7500.0,,North,Returning
1016,2024-01-17,,Home Appliance,3.0,,12600.0,North,
1017,2024-01-18,Headphones,Electronics,2.0,2500.0,5000.0,,Returning
1018,2024-01-19,Shoes,Clothing,1.0,7500.0,7500.0,East,Returning
1019,,Mobile Phone,Electronics,,,30000.0,West,New
1020,2024-01-21,Smartwatch,Electronics,,700.0,,East,New
1021,,,Home Appliance,1.0,4200.0,4200.0,West,Returning
1022,2024-01-23,Mobile Phone,Electronics,1.0,55000.0,,South,
1023,2024-01-24,Mixer Grinder,Home Appliance,4.0,8000.0,32000.0,East,Returning
1024,,Smartwatch,Electronics,2.0,1200.0,2400.0,East,Returning
1025,2024-01-26,Mixer Grinder,Home Appliance,5.0,15000.0,75000.0,East,New
1026,,T-Shirt,Clothing,2.0,2000.0,4000.0,South,Returning
1027,2024-01-28,,Home Appliance,2.0,8000.0,16000.0,West,New
1028,2024-01-29,Smartwatch,Electronics,5.0,700.0,3500.0,North,New
1029,,Mobile Phone,Electronics,1.0,4200.0,4200.0,West,New
1030,2024-01-31,Smartwatch,,4.0,,32000.0,East,
1031,2024-02-01,Microwave Oven,Home Appliance,1.0,55000.0,55000.0,East,Returning
1032,2024-02-02,T-Shirt,,3.0,55000.0,,South,Returning
1033,2024-02-03,Mobile Phone,Electronics,1.0,8000.0,8000.0,West,Returning
1034,2024-02-04,Jeans,Clothing,,15000.0,,,
